3	5
5	4
2	3
6	8
8	7
2	6
7	2
4	2
10	12
12	11
9	10
13	15
15	14
9	13
14	9
11	9
10	16
13	17
19	21
21	20
18	19
22	24
24	23
18	22
23	18
20	18
19	25
22	26
27	28
27	29
30	31
30	32
33	34
31	33
36	38
38	37
35	36
39	41
41	40
35	39
40	35
37	35
36	42
39	43
44	45
44	46
47	48
47	49
50	51
48	50
41	52
52	41
52	43
53	53
55	57
57	56
54	55
58	60
60	59
54	58
59	54
56	54
55	61
58	62
60	63
63	60
63	62
64	64
66	68
68	67
65	66
69	71
71	70
65	69
70	65
67	65
72	73
72	74
75	76
73	75
78	80
80	79
77	78
81	83
83	82
77	81
82	77
79	77
81	84
83	85
85	83
85	84
85	87
87	84
86	86
88	88
90	92
92	91
89	90
93	95
95	94
89	93
94	89
91	89
93	96
95	97
97	95
97	96
97	99
99	96
98	98
100	100
101	102
101	103
104	105
102	104
0	2
0	3
0	6
4	1
7	1
2	1
0	9
0	10
0	13
11	1
14	1
16	1
17	1
9	1
0	18
0	19
0	27
0	22
0	30
20	1
23	1
25	1
26	1
28	1
29	1
31	1
34	1
32	1
0	35
0	36
0	44
0	39
0	47
0	53
37	1
40	1
42	1
43	1
45	1
46	1
48	1
51	1
49	1
53	1
0	54
0	55
0	58
0	64
56	1
59	1
61	1
62	1
64	1
54	1
0	65
0	66
0	69
0	72
67	1
70	1
73	1
76	1
74	1
0	77
0	78
0	81
0	86
0	88
79	1
82	1
84	1
86	1
87	1
88	1
0	89
0	90
0	93
0	98
0	100
0	101
91	1
94	1
96	1
98	1
99	1
100	1
105	1
103	1
102	1
