0	0
1	0
2	7
3	2
4	3
5	3
6	5
7	15
8	17
9	2
10	2
11	2
12	2
13	7
14	2
15	3
16	3
17	5
18	15
19	17
20	3
21	3
22	2
23	2
24	2
25	2
26	7
27	2
28	3
29	3
30	5
31	15
32	17
33	3
34	3
35	2
36	2
37	2
38	2
39	2
40	2
41	7
42	2
43	3
44	3
45	5
46	15
47	17
48	3
49	3
50	2
51	2
52	2
53	2
54	2
55	2
56	10
57	7
58	2
59	3
60	3
61	5
62	15
63	17
64	3
65	3
66	2
67	2
68	2
69	2
70	2
71	7
72	2
73	3
74	3
75	5
76	15
77	17
78	3
79	3
80	2
81	2
82	2
83	2
84	10
85	7
86	2
87	3
88	3
89	5
90	15
91	17
92	2
93	2
94	2
95	2
96	2
97	2
98	7
99	2
100	3
101	3
102	5
103	15
104	17
105	3
106	3
107	7
108	2
109	3
110	3
111	5
112	15
113	17
114	3
115	3
116	2
117	2
118	7
119	2
120	3
121	3
122	5
123	15
124	17
125	3
126	3
127	2
128	7
129	2
130	3
131	3
132	5
133	15
134	17
135	2
136	2
137	7
138	2
139	3
140	3
141	5
142	15
143	17
144	2
145	7
146	2
147	3
148	3
149	5
150	15
151	17
