60	1	
0	10	0	
10	0	0	
1	11	0	
11	1	0	
2	12	0	
12	2	0	
3	13	0	
13	3	0	
4	14	0	
14	4	0	
5	15	0	
15	5	0	
6	16	0	
16	6	0	
7	17	0	
17	7	0	
8	18	0	
18	8	0	
9	19	0	
19	9	0	
1	12	0	
12	1	0	
2	10	0	
10	2	0	
4	10	0	
10	4	0	
2	13	0	
13	2	0	
3	14	0	
14	3	0	
3	15	0	
15	3	0	
5	13	0	
13	5	0	
6	13	0	
13	6	0	
2	17	0	
17	2	0	
7	18	0	
18	7	0	
7	16	0	
16	7	0	
6	17	0	
17	6	0	
7	19	0	
19	7	0	
9	17	0	
17	9	0	
8	16	0	
16	8	0	
8	19	0	
19	8	0	
9	13	0	
13	9	0	
6	10	0	
10	6	0	
9	10	0	
10	9	0	
5	17	0	
17	5	0	
